Drug_Name,SMILES,Interacts_with_Receptor,Notes,Molecular_Weight,LogP,H_Bond_Donors,Is_Heavy_Molecule
DEXAMETHASONE_MANUAL,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.0,Synthetic Glucocorticoid (Potent Stress Mimic),392.4670000000002,1.8957000000000002,3,False
CORTISOL_MANUAL,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,1.0,Natural Stress Hormone (Hydrocortisone),362.46600000000007,1.7815999999999996,3,False
PREDNISONE_MANUAL,C[C@]12CC(=O)C3C(CCC4=CC(=O)C=CC43C)C1CC(C2(C(=O)CO)O)O,1.0,Common Anti-inflammatory Steroid,374.4330000000001,0.7365999999999999,3,False
ASPIRIN_MANUAL,CC(=O)OC1=CC=CC=C1C(=O)O,0.0,COX Inhibitor (Pain/Inflammation),180.15899999999996,1.3101,1,False
IBUPROFEN_MANUAL,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,0.0,NSAID Pain Reliever,206.28499999999997,3.073200000000001,1,False
ACETAMINOPHEN_MANUAL,CC(=O)NC1=CC=C(O)C=C1,0.0,Paracetamol (Pain/Fever),151.165,1.3505999999999998,2,False
TESTOSTERONE_MANUAL,C[C@]12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,0.0,Male Sex Hormone,288.431,3.879200000000003,1,False
PROGESTERONE_MANUAL,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,0.0,Pregnancy Hormone,314.4690000000001,4.723500000000005,0,False
DIAZEPAM_MANUAL,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,0.0,Valium (Anxiety/Stress Relief),284.74600000000004,3.1538000000000013,0,False
FLUOXETINE_MANUAL,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0.0,Prozac (Antidepressant),309.33099999999996,4.435000000000003,1,False
Tox21_TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,0.0,,258.32399999999996,1.3424,1,False
Tox21_TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O,0.0,,204.22899999999998,1.2993999999999999,1,False
Tox21_TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,0.0,,276.42400000000004,3.7524400000000018,1,False
Tox21_TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0,,206.027,-0.9922000000000002,5,False
Tox21_TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0,,290.444,4.817200000000005,0,False
Tox21_TOX6619,O=S(=O)(Cl)c1ccccc1,0.0,,176.62400000000002,1.6141,0,False
Tox21_TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,0.0,,621.9340000000001,4.625400000000002,2,True
Tox21_TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0,,152.146,-2.9463000000000004,5,False
Tox21_TOX25236,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.0,,663.4300000000004,-3.6478999999999964,7,True
Tox21_TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.0,,354.1,-1.2181000000000002,3,False
Tox21_TOX6612,CC(C)COC(=O)C(C)C,0.0,,144.21399999999997,1.8416000000000001,0,False
Tox21_TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,,198.21799999999996,1.2249999999999999,0,False
Tox21_TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.0,,215.70799999999997,0.24750000000000005,0,False
Tox21_TOX14833,O=C([O-])Cc1cccc2ccccc12,0.0,,185.202,1.1321999999999994,0,False
Tox21_TOX26529,CCCCCCCCCCOCC(O)CN,0.0,,231.37999999999997,2.4633,2,False
Tox21_TOX26524,CCN(CC)C(=O)c1cccnc1,0.0,,178.235,1.5636,0,False
