Drug_Name,SMILES,Interacts_with_Dexa
Tox21_0,CC(O)(P(=O)(O)O)P(=O)(O)O,0.0
Tox21_1,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.0
Tox21_2,OC[C@H](O)[C@@H](O)[C@H](O)CO,0.0
Tox21_3,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0.0
Tox21_4,CC(C)COC(=O)C(C)C,0.0
Tox21_5,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0
Tox21_6,CCCCCCCCCCOCC(O)CN,0.0
Tox21_7,C#CCO,0.0
Tox21_8,CC(O)CC(C)(C)O,0.0
Tox21_9,CC(C)(C)CC(C)(C)N,0.0
Tox21_10,CC(=O)CC(C)C,0.0
Tox21_11,CCCC(C)=O,0.0
Tox21_12,CCCCNC(=S)NCCCC,0.0
Tox21_13,CCCCNC(=O)NCCCC,0.0
Tox21_14,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0
Tox21_15,CC/C=C\CCCCO,0.0
Tox21_16,CC(=O)CCC(C)=O,0.0
Tox21_17,N#CCCNCCC#N,0.0
Tox21_18,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0
Tox21_19,CCCCCCCCCCCC(=O)NCCCN(C)C,0.0
Tox21_20,CC(C)CCCCCOC(=O)CCS,0.0
Tox21_21,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0
Tox21_22,F[B-](F)(F)F.[H+],0.0
Tox21_23,CCCCCC(C)O,0.0
Tox21_24,[I-].[K+],0.0
Tox21_25,C/C=C/C=C/C=O,0.0
Tox21_26,C[Si](C)(C)N[Si](C)(C)C,0.0
Tox21_27,C=CC(=O)OCCCl,0.0
Tox21_28,O=C(O)/C=C(\CC(=O)O)C(=O)O,0.0
Tox21_29,O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,0.0
Tox21_30,CCCCC(=O)[O-],0.0
Tox21_31,CCCCCCCCCCCCCC(=O)OC,0.0
Tox21_32,CCCCCCC(C)O,0.0
Tox21_33,CCC[Si](OC)(OC)OC,0.0
Tox21_34,NCCNCCNCCN,0.0
Tox21_35,CCCCCNCCCCC,0.0
Tox21_36,COCC(C)O,0.0
Tox21_37,NCC(=O)CCC(=O)O,0.0
Tox21_38,ClCOCCl,0.0
Tox21_39,CC(O)CNCC(C)O,0.0
Tox21_40,[Cu]I,0.0
Tox21_41,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0.0
Tox21_42,O=C(O)CCCCCCCCC(=O)O,0.0
Tox21_43,CCCCCCCC(=O)OC,0.0
Tox21_44,CC(O)COCC(C)O,0.0
Tox21_45,CO[Si](C)(C)OC,0.0
Tox21_46,CCCCCCCCCC=O,0.0
Tox21_47,BrCBr,0.0
Tox21_48,CCCCCCCCCC(=O)O,0.0
Tox21_49,O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0.0
Tox21_50,CCCCCCCCCOS(=O)(=O)[O-],0.0
Tox21_51,CCC(Cl)CCl,0.0
Tox21_52,C=CC(=O)OCCOC(=O)C=C,0.0
Tox21_53,CCCC[P+](CCCC)(CCCC)CCCC,0.0
Tox21_54,CCCCCCCCNC,0.0
Tox21_55,C=CC(=C)C,0.0
Tox21_56,CC(C)O,0.0
Tox21_57,CCCC(CCC)C(=O)[O-],0.0
Tox21_58,CC(C)C[P+](C)(CC(C)C)CC(C)C,0.0
Tox21_59,CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,0.0
Tox21_60,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,0.0
Tox21_61,CC(C)CNCC(C)C,0.0
Tox21_62,NC(=S)NNC(N)=S,0.0
Tox21_63,NC(=S)C(N)=S,0.0
Tox21_64,C[Hg]Cl,0.0
Tox21_65,[Hg+2],0.0
Tox21_66,CCCCCCCCCCCCNC(=N)N,0.0
Tox21_67,CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,0.0
Tox21_68,CNC(=O)/C=C(\C)OP(=O)(OC)OC,0.0
Tox21_69,CC=CC(=O)CC,0.0
Tox21_70,O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-],0.0
Tox21_71,O=P(Cl)(Cl)Cl,0.0
Tox21_72,CC(N)CN,0.0
Tox21_73,CCC(C)O,0.0
Tox21_74,CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC,0.0
Tox21_75,CC(O)CN,0.0
Tox21_76,COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],0.0
Tox21_77,CC(=O)O[Cr](O)OC(C)=O.CC(=O)O[Cr](O)OC(C)=O.CC(=O)O[Cr](OC(C)=O)OC(C)=O,0.0
Tox21_78,C=C(C)C(=O)OCCNC(C)(C)C,0.0
Tox21_79,O=C(O)[C@@H](S)[C@H](S)C(=O)O,0.0
Tox21_80,O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0
Tox21_81,CC(C)(N)CO,0.0
Tox21_82,CC(C)(CO)CO,0.0
Tox21_83,O=[N+]([O-])C(CO)(CO)CO,0.0
Tox21_84,OCC(CO)(CO)COCC(CO)(CO)CO,0.0
Tox21_85,O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],0.0
Tox21_86,NC(CO)(CO)CO,0.0
Tox21_87,CO[Si](CCCS)(OC)OC,0.0
Tox21_88,C[N+](C)=CCl,0.0
Tox21_89,COC(=O)CCC(=O)O,0.0
Tox21_90,O=[Zr](Cl)Cl,0.0
Tox21_91,CN(C)C(=N)NC(=N)N,0.0
Tox21_92,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,0.0
Tox21_93,CC(C)=CCC[C@H](C)CCO,0.0
Tox21_94,CC(C)CC(O)CC(C)C,0.0
Tox21_95,C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,0.0
Tox21_96,CC(C)OS(C)(=O)=O,0.0
Tox21_97,C=C(C)OC(C)=O,0.0
Tox21_98,CC(O)C#CC(C)O,0.0
Tox21_99,CCCCOCCO,0.0
Tox21_100,CCCN(CCC)C(=O)SCC,0.0
Tox21_101,N#CCCC#N,0.0
Tox21_102,CC(Cl)(Cl)C(=O)O,0.0
Tox21_103,O=C(CCl)CCl,0.0
Tox21_104,CC(=O)C(Cl)Cl,0.0
Tox21_105,CCCCOCCOCCOCCO,0.0
Tox21_106,CCCCCCCC/C=C/C(=O)[O-].CCCCCCCC/C=C/C(=O)[O-],0.0
Tox21_107,CCOC(=O)CC(=O)OCC,0.0
Tox21_108,CCCCCCCCCO,0.0
Tox21_109,CCCCCCNCCCCCC,0.0
Tox21_110,ClCCCCl,0.0
Tox21_111,CCCCCCOC(C)=O,0.0
Tox21_112,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0.0
Tox21_113,CCOC(C)=O,0.0
Tox21_114,NCCNCCN,1.0
Tox21_115,CCOP(=O)(CC)OCC,0.0
Tox21_116,NC(=O)CCCCC(N)=O,0.0
Tox21_117,CNC(=O)ON=CC(C)(C)SC,0.0
Tox21_118,NN,0.0
Tox21_119,COC(C)(C)C,0.0
Tox21_120,COC(N)=O,0.0
Tox21_121,COC(=O)NN,0.0
Tox21_122,CCCCCCCCCCCCCCCCCCOCC(O)CO,1.0
Tox21_123,CSCCC=O,0.0
Tox21_124,CC(C)(C)C(=O)Cl,0.0
Tox21_125,CCCCC(CC)COC(=O)Cl,0.0
Tox21_126,CCCCC(CC)C(=O)[O-],0.0
Tox21_127,C/C=C/C=C/C(=O)[O-],0.0
Tox21_128,CCCCCC=CCC(=O)OC,0.0
Tox21_129,CCCCCCCCC(=O)OCC,0.0
Tox21_130,CCCCCCCC#N,0.0
Tox21_131,CCCCCCCCCCCCCC(=O)OCC,0.0
Tox21_132,CCCCCCC(O)CCOC(C)=O,0.0
Tox21_133,C=CCCCCCCCCO,0.0
Tox21_134,CCCCCCCCCCCCCCCCN,0.0
Tox21_135,CNC(=O)NC(O)C(Cl)(Cl)Cl,0.0
Tox21_136,CCCCCCC/C=C/C=O,0.0
Tox21_137,CC/C=C\CC/C=C/C(OCC)OCC,0.0
